Check,SKU,UPC,Description,Price,CurrencyCode,Sell_Unit
1,003000739,000000000002950050,Mang tuoi Kg,18,000,VND,KG
1,003000746,000000000002950060,Cai ro DaLat Kg,8,500,VND,KG
1,003000748,000000000002950062,Rau cang cua Kg,7,500,VND,KG
1,003000754,000000000002950068,Rau den ot Kg,13,000,VND,KG
1,003000772,000000000002950086,Sa lach cay dai Kg,14,000,VND,KG
1,003000775,000000000002950090,Sa lach tim Kg,66,000,VND,KG
1,003000778,000000000002950093,Mang tay Kg,210,000,VND,KG
1,003000782,000000000002950097,Sa lach thang Kg,11,200,VND,KG
1,003000787,000000000002950103,Bong Muop Kg,17,200,VND,KG
1,003000791,000000000002950107,Rau mam thuy canh Kg,5,000,VND,KG
1,003000792,000000000002950114,Sa lach Phap Kg,10,000,VND,KG
1,003000799,000000000002950146,Bong Atiso kho Kg,180,000,VND,KG
1,003000828,000000000002950770,Khoai mon sap kg,17,000,VND,KG
1,003000829,000000000002950771,Khoai tay giong Bi kg,12,500,VND,KG
1,003000837,000000000002950779,Cu hanh do(hanh tim) Kg,21,500,VND,KG
1,003000849,000000000002950792,S-Su su bao soi Kg,15,500,VND,KG
1,003000850,000000000002950793,Nam rom trang Kg,24,000,VND,KG
1,003000854,000000000002951325,S-Khoai so so che Kg,11,500,VND,KG
1,003000858,000000000002950807,Ot xay Kg-NCC,48,000,VND,KG
1,003000859,000000000002950808,Toi bam Kg-NCC,48,000,VND,KG
1,003000861,000000000002950810,Hanh tim bam Kg-NCC,45,000,VND,KG
1,003000865,000000000002950820,Cu cai do Kg,8,700,VND,KG
1,003000866,000000000002950822,Bi gac Kg,4,800,VND,KG
1,003000870,000000000002950848,Hanh tim Indo Kg,15,000,VND,KG
1,003000871,000000000002950872,Cu Go Bo(nguu bang) Kg,156,000,VND,KG
1,003000872,000000000002950875,Dau bi bo Kg,75,000,VND,KG
1,003000875,000000000002950885,Hanh cu do(chum) Kg,12,500,VND,KG
1,003000891,000000000002951515,Dua le kg,25,000,VND,KG
1,003000897,000000000002951521,Man giong An Do kg,15,000,VND,KG
1,003000900,000000000002951524,Me kho TLan kg,28,000,VND,KG
1,003000903,000000000002951527,Tao Hong kg,16,000,VND,KG
1,003000912,000000000002951539,Bon bon Thai kg,84,000,VND,KG
1,003000913,000000000002951541,Kiwi L2 kg,38,500,VND,KG
1,003000918,000000000002951546,Mang cut TLan L1 kg,66,000,VND,KG
1,003000919,000000000002951547,Mit to nu kg,22,500,VND,KG
1,003000921,000000000002951551,Nho den NinhPhu kg,27,500,VND,KG
1,003000922,000000000002951553,Du du vang loai2 kg,14,900,VND,KG
1,003000926,000000000002951558,Vai thieu loai 2,28,500,VND,KG
1,003000930,000000000002951562,Man do Uc kg,235,000,VND,KG
1,003000933,000000000002951565,Oi VNam L2,4,900,VND,KG
1,003000934,000000000002951566,Nho xanh NinhPhu kg,45,000,VND,KG
1,003000935,000000000002951567,Dua hau Tlan kg,13,500,VND,KG
